"Status","Name","Duration in ms","Description"
"passed","demosuite.test_demo_2.Demo3.test_book_2","265","
        获取电子书列表页数据,使用post方法
        :return:
        "
"passed","demosuite.test_demo_1.Demo3.test_book_2","263","
        获取电子书列表页数据,使用post方法
        :return:
        "
"passed","demosuite.test_demo_2.Demo3.test_book_1","336","
        获取电子书列表页数据,使用post方法
        :return:
        "
"passed","demosuite.test_demo_1.Demo3.test_book_1","296","
        获取电子书列表页数据,使用post方法
        :return:
        "
